client,desc,combined,service
Quality Technology Services,Atlanta Metro - Greenfield Design,Quality Technology Services Atlanta Metro - Greenfield Design,Design
Quality Technology Services,Chicago - Design,Quality Technology Services Chicago - Design,Design
Quality Technology Services,H3 Power Room Redesign,Quality Technology Services H3 Power Room Redesign,Design
Quality Technology Services,Hillsboro DC,Quality Technology Services Hillsboro DC,Commissioning
Quality Technology Services,Hogan 3W Power Reclaim,Quality Technology Services Hogan 3W Power Reclaim,Design
Quality Technology Services,Hydra 1E1 Design,Quality Technology Services Hydra 1E1 Design,Design
Quality Technology Services,Metro - 1E Master Plan Design,Quality Technology Services Metro - 1E Master Plan Design,Design
Quality Technology Services,Metro - Plant Analysis,Quality Technology Services Metro - Plant Analysis,Design
Quality Technology Services,MIA BMS Assessment,Quality Technology Services MIA BMS Assessment,MSI
Quality Technology Services,MIA Risk Assessment,Quality Technology Services MIA Risk Assessment,"Other (Owner's Rep, Ops Support, etc.)"
Quality Technology Services,Miami BMS Design,Quality Technology Services Miami BMS Design,MSI
Quality Technology Services,"Piscataway, NJ - BMS Assessment","Quality Technology Services Piscataway, NJ - BMS Assessment",Audit
Quality Technology Services,"PJC BMS Assessment (E Windsor, NJ)","Quality Technology Services PJC BMS Assessment (E Windsor, NJ)",Audit
Quality Technology Services,"Princeton, NJ - BMS Assessment","Quality Technology Services Princeton, NJ - BMS Assessment",Audit
Quality Technology Services,"Project Acadia, Manassas, VA Cx","Quality Technology Services Project Acadia, Manassas, VA Cx",Commissioning
Quality Technology Services,Project Hogan - Chicago,Quality Technology Services Project Hogan - Chicago,Cx
Quality Technology Services,Project Joshua & DFW DC#3 Cx,Quality Technology Services Project Joshua & DFW DC#3 Cx,Commissioning
Quality Technology Services,Project Sunshine Cx,Quality Technology Services Project Sunshine Cx,Commissioning
Quality Technology Services,QBR meeting,Quality Technology Services QBR meeting,Commissioning
Quality Technology Services,QTS DFW1 – Controls Update,Quality Technology Services QTS DFW1 – Controls Update,MSI
Quality Technology Services,QTS Metro - 1E2 CFD,Quality Technology Services QTS Metro - 1E2 CFD,Specialty Services
Quality Technology Services,QTS Metro - H Generator Expansion,Quality Technology Services QTS Metro - H Generator Expansion,Design
Quality Technology Services,Richmond Central Plant Cx,Quality Technology Services Richmond Central Plant Cx,Commissioning
Quality Technology Services,"Sacramento, CA - BMS Assessment","Quality Technology Services Sacramento, CA - BMS Assessment",Audit
Quality Technology Services,Sunshine Chicago DC - Cx (Design / Pre-Construction),Quality Technology Services Sunshine Chicago DC - Cx (Design / Pre-Construction),Commissioning
Quality Technology Services,SUW BMS-Chiller Plant Remediation Cx,Quality Technology Services SUW BMS-Chiller Plant Remediation Cx,Commissioning
Quality Technology Services,SUW MBAS & Mechanical Hardening,Quality Technology Services SUW MBAS & Mechanical Hardening,Design
Quality Technology Services,Suwanee - Greenfield Cx (Design & Pre-Construction),Quality Technology Services Suwanee - Greenfield Cx (Design & Pre-Construction),Design
Quality Technology Services,Suwanee - Greenfield Design,Quality Technology Services Suwanee - Greenfield Design,Design
Quality Technology Services,Suwanee BMS Retrofit Commissioning,Quality Technology Services Suwanee BMS Retrofit Commissioning,Commissioning
Quality Technology Services,QTS Metro - Chiller Evaluation,Quality Technology Services QTS Metro - Chiller Evaluation,Audit
Quest Controls,3rd Party Review of BMS System,Quest Controls 3rd Party Review of BMS System,MSI
Quest Controls,"Alpharetta, GA - BAS Integration","Quest Controls Alpharetta, GA - BAS Integration",MSI
Quest Controls,"Chandler, AZ call center - BAS integration","Quest Controls Chandler, AZ call center - BAS integration",MSI
Quest Controls,"Hanover, MD - BAS Replacement","Quest Controls Hanover, MD - BAS Replacement",MSI
Quest Controls,JACE Integration - 50 Buildings,Quest Controls JACE Integration - 50 Buildings,MSI
Quest Controls,"Silver Springs, MD - BAS Integration","Quest Controls Silver Springs, MD - BAS Integration",MSI
Quest Controls,Verizon Colorado Springs Call Center - BAS integration,Quest Controls Verizon Colorado Springs Call Center - BAS integration,MSI
Quest Controls,Verizon Lake Mary Call Center - BAS integration,Quest Controls Verizon Lake Mary Call Center - BAS integration,MSI
Quest Controls,300 large building integration / energy program,Quest Controls 300 large building integration / energy program,Design
RagingWire,Ashburn Data Center Campus,RagingWire Ashburn Data Center Campus,Commissioning
RagingWire,RFP,RagingWire RFP,Commissioning
Ramapo College of New Jersey,Library Renovation and Learning Center Addition Commissioning Services,Ramapo College of New Jersey Library Renovation and Learning Center Addition Commissioning Services,Commissioning
Randall-Paulson Architects,Atlanta Center for Reproductive Medicine  - ACRM,Randall-Paulson Architects Atlanta Center for Reproductive Medicine  - ACRM,Design
Randall-Paulson Architects,"Forsyth Physician MOB 1 Imaging Center - Cumming, GA ","Randall-Paulson Architects Forsyth Physician MOB 1 Imaging Center - Cumming, GA ",Design
Randall-Paulson Architects,Healthcare roadshow,Randall-Paulson Architects Healthcare roadshow,Design
Randall-Paulson Architects,Northside Hospital,Randall-Paulson Architects Northside Hospital,Design
Randall-Paulson Architects,Piedmont Rockdale Hospital Renovations - East Wing - Cardiology Suite,Randall-Paulson Architects Piedmont Rockdale Hospital Renovations - East Wing - Cardiology Suite,Design
Randall-Paulson Architects,SGMC Women and Childrens Center - Energy Audit,Randall-Paulson Architects SGMC Women and Childrens Center - Energy Audit,Design
Randall-Paulson Architects,SGMC Women and Childrens Center - MEP Services,Randall-Paulson Architects SGMC Women and Childrens Center - MEP Services,Design
Randall-Paulson Architects,Wellstar - Barrett Medical Center Design,Randall-Paulson Architects Wellstar - Barrett Medical Center Design,Design
Randall-Paulson Architects,Wellstar - Pulmonary Scoping Documents,Randall-Paulson Architects Wellstar - Pulmonary Scoping Documents,Design
Randall-Paulson Architects,Wellstar - Spalding Hospital - MRI Replacement,Randall-Paulson Architects Wellstar - Spalding Hospital - MRI Replacement,Design
Randall-Paulson Architects,Wellstar Cobb County Hospital - Dialysis and GI Scoping Docs ,Randall-Paulson Architects Wellstar Cobb County Hospital - Dialysis and GI Scoping Docs ,Design
Randall-Paulson Architects,Wellstar Cobb County Hospital - RI unit scoping docs,Randall-Paulson Architects Wellstar Cobb County Hospital - RI unit scoping docs,Design
Randall-Paulson Architects,Wellstar Cobb Hospital - Barrett Surgery Center Scoping Docs,Randall-Paulson Architects Wellstar Cobb Hospital - Barrett Surgery Center Scoping Docs,Design
Randall-Paulson Architects,Wellstar GME Family Practice ,Randall-Paulson Architects Wellstar GME Family Practice ,Design
Randall-Paulson Architects,Wellstar Health - International Tower - Cardiology Suite ,Randall-Paulson Architects Wellstar Health - International Tower - Cardiology Suite ,Design
Randall-Paulson Architects,Wellstar WHS AMC MOB Tenant Relocation ,Randall-Paulson Architects Wellstar WHS AMC MOB Tenant Relocation ,Design
RE Lamb,Cx Qualifications,RE Lamb Cx Qualifications,Commissioning
Richmond Federal Reserve Bank,UPS FRIT Replacement Cx,Richmond Federal Reserve Bank UPS FRIT Replacement Cx,Commissioning
Rowan University,Retro-Cx Services for Rowan Hall HVAC System,Rowan University Retro-Cx Services for Rowan Hall HVAC System,Commissioning
Rowan University,Robinson and Wilson Building ,Rowan University Robinson and Wilson Building ,Commissioning
SABEY,Ashburn Building 3 Cx,SABEY Ashburn Building 3 Cx,Commissioning
SABEY,Ashburn Cx,SABEY Ashburn Cx,Commissioning
SABEY,Intergate Quincy Building B - Cx Services,SABEY Intergate Quincy Building B - Cx Services,Commissioning
SABEY,Pearl Street Data Center,SABEY Pearl Street Data Center,Commissioning
SABEY,Pearl Street Data Center,SABEY Pearl Street Data Center,Commissioning
SABEY,Sabey Construction – IGA-AC1,SABEY Sabey Construction – IGA-AC1,Commissioning
Safe Banking Systems LLC,Tenant Relocation - Design Build - Kennesaw,Safe Banking Systems LLC Tenant Relocation - Design Build - Kennesaw,Design Build
"Samson Controls, Inc.",PEER Review Engineering Services,"Samson Controls, Inc. PEER Review Engineering Services",Design
Selig Enterprises,"270 Carpenter Design / CA - Sandy Springs, GA","Selig Enterprises 270 Carpenter Design / CA - Sandy Springs, GA",Design
Selig Enterprises,270 Carpenter Drive,Selig Enterprises 270 Carpenter Drive,Design
Selig Enterprises,60 Peachtree Park - Operational Assessment,Selig Enterprises 60 Peachtree Park - Operational Assessment,Audit
Selig Enterprises,75 Marietta – Design / Owner's Rep,Selig Enterprises 75 Marietta – Design / Owner's Rep,"Other (Owner's Rep, Ops Support, etc.)"
Selig Enterprises,84 Walton - Fourth Floor Re-Design,Selig Enterprises 84 Walton - Fourth Floor Re-Design,Design
Selig Enterprises,84 Walton Fitness Center,Selig Enterprises 84 Walton Fitness Center,Design
Selig Enterprises,ABBC Audit 75 Marietta Street,Selig Enterprises ABBC Audit 75 Marietta Street,Audit
Selig Enterprises,Distech and other,Selig Enterprises Distech and other,Controls
Selig Enterprises,Facilities Management Program,Selig Enterprises Facilities Management Program,Design
Selig Enterprises,GA Power Incentives Support,Selig Enterprises GA Power Incentives Support,Audit
Selig Enterprises,HVAC Renovations - CM,Selig Enterprises HVAC Renovations - CM,"Other (Owner's Rep, Ops Support, etc.)"
Selig Enterprises,"Trolley Barn HVAC Upgrades – Atlanta, GA","Selig Enterprises Trolley Barn HVAC Upgrades – Atlanta, GA",Design
Selig Enterprises,Works at Chattahoochee,Selig Enterprises Works at Chattahoochee,Design
Sentinel,NJ1 Commissioning Services,Sentinel NJ1 Commissioning Services,Commissioning
Sentinel,Sentinel NJ-1 - DH 4.1 - Cx,Sentinel Sentinel NJ-1 - DH 4.1 - Cx,Commissioning
Sentinel,Ashburn – Cx Qualifications,Sentinel Ashburn – Cx Qualifications,Commissioning
Shorenstein Realty Services,BofA Building - Energy Star Verification (Sustainability Options),Shorenstein Realty Services BofA Building - Energy Star Verification (Sustainability Options),Audit
Sigma Six Solutions,eBay DC Cx Expansion ,Sigma Six Solutions eBay DC Cx Expansion ,Commissioning
Sigma Six Solutions,eBay HV Substation Testing,Sigma Six Solutions eBay HV Substation Testing,Commissioning
Sigma Six Solutions,"eBay Phoenix, AZ Electrical Cx","Sigma Six Solutions eBay Phoenix, AZ Electrical Cx",Commissioning
Sigma Six Solutions,IKEA Bloom Energy ECx Support (fuel cells),Sigma Six Solutions IKEA Bloom Energy ECx Support (fuel cells),Commissioning
Sizemore Group,TBD,Sizemore Group TBD,Design
Sluss + Padgett,KIA Plant VRF Swapout,Sluss + Padgett KIA Plant VRF Swapout,Design Build
Sluss + Padgett,Referral work / partnering on BIM/Revit,Sluss + Padgett Referral work / partnering on BIM/Revit,Specialty Services
SNC- Lavalin Peru S.A.,Kelson 230 kV Substation Electrical Testing - Maryland,SNC- Lavalin Peru S.A. Kelson 230 kV Substation Electrical Testing - Maryland,Commissioning
SNC- Lavalin Peru S.A.,Kelson Power Plant Electrical - Maryland,SNC- Lavalin Peru S.A. Kelson Power Plant Electrical - Maryland,Commissioning
Spiezle Architectural Group,Spring Lake Borough - HW Mountz School AC,Spiezle Architectural Group Spring Lake Borough - HW Mountz School AC,Commissioning
Spiezle Architectural Group,Brigantine BOE School Cx,Spiezle Architectural Group Brigantine BOE School Cx,Commissioning
Spiezle Architectural Group,Stafford School District ECM Validation,Spiezle Architectural Group Stafford School District ECM Validation,Audit
Spiezle Architectural Group,New Dayton Avenue Educational Campus Quals,Spiezle Architectural Group New Dayton Avenue Educational Campus Quals,Design
Spiezle Architectural Group,Spring Lake School Storage Building,Spiezle Architectural Group Spring Lake School Storage Building,Design
Spiezle Architectural Group,Bayhead Elementary School – Boiler Commissioning ,Spiezle Architectural Group Bayhead Elementary School – Boiler Commissioning ,Commissioning
Spiezle Architectural Group,Bayhead Elementary School – Gymnasium Humidity Study,Spiezle Architectural Group Bayhead Elementary School – Gymnasium Humidity Study,Commissioning
Spiezle Architectural Group,Hazlet High School Commissioning,Spiezle Architectural Group Hazlet High School Commissioning,Commissioning
Spiezle Architectural Group,Middle Township Elementary School 1 Cx,Spiezle Architectural Group Middle Township Elementary School 1 Cx,Commissioning
Spiezle Architectural Group,Spring Lake Heights Elementary School – MEP Survey Assessment and Design Services,Spiezle Architectural Group Spring Lake Heights Elementary School – MEP Survey Assessment and Design Services,Audit
Spiezle Architectural Group,Barnegat School District HVAC Equipment Condition Survey,Spiezle Architectural Group Barnegat School District HVAC Equipment Condition Survey,Audit
Spiezle Architectural Group,Day Care Center MEP Design ,Spiezle Architectural Group Day Care Center MEP Design ,Design
Spiezle Architectural Group,Lawrence Township POE – Professional A/E Services ,Spiezle Architectural Group Lawrence Township POE – Professional A/E Services ,Design
Spiezle Architectural Group,Sea Girt ES Condition Survey ,Spiezle Architectural Group Sea Girt ES Condition Survey ,Audit
Spiezle Architectural Group,Eagleswood Elementary School - Additions & Renovation,Spiezle Architectural Group Eagleswood Elementary School - Additions & Renovation,Commissioning
Spiezle Architectural Group,Hazlet BOE Sycamore Elementary School HVAC Cx,Spiezle Architectural Group Hazlet BOE Sycamore Elementary School HVAC Cx,Commissioning
Spiezle Architectural Group,Hazlet Township BOE Multiple Schools HVAC Cx,Spiezle Architectural Group Hazlet Township BOE Multiple Schools HVAC Cx,Commissioning
Spiezle Architectural Group,Island Heights Elementary School - Cx Proposal,Spiezle Architectural Group Island Heights Elementary School - Cx Proposal,Commissioning
Spiezle Architectural Group,Manchester Township School District Cx Services,Spiezle Architectural Group Manchester Township School District Cx Services,Commissioning
Spiezle Architectural Group,Piscataway HS Toilet Renovation - Peer Review,Spiezle Architectural Group Piscataway HS Toilet Renovation - Peer Review,Design
Spiezle Architectural Group,Raritan HS HVAC Cx,Spiezle Architectural Group Raritan HS HVAC Cx,Commissioning
Spiezle Architectural Group,"HVAC Cx - Appleby Elementary School, Spotswood, NJ","Spiezle Architectural Group HVAC Cx - Appleby Elementary School, Spotswood, NJ",Commissioning
Spiezle Architectural Group,"HVAC Cx Services – Farmingdale Elementary School, Farmingdale, NJ","Spiezle Architectural Group HVAC Cx Services – Farmingdale Elementary School, Farmingdale, NJ",Commissioning
Spiezle Architectural Group,"New Dayton Educational Campus, Passaic, NJ","Spiezle Architectural Group New Dayton Educational Campus, Passaic, NJ",Commissioning
St. Peter's University,Hospital Cx Services,St. Peter's University Hospital Cx Services,Commissioning
Stantec,"Conestoga, PA Substation NETA Testing and Commissioning","Stantec Conestoga, PA Substation NETA Testing and Commissioning",Commissioning
State of NJ - Division of Property Management & Construction,A1236-00 DPMC - Data Center Power Distribution System Improvements  ,State of NJ - Division of Property Management & Construction A1236-00 DPMC - Data Center Power Distribution System Improvements  ,Design
State of NJ - Division of Property Management & Construction,3rd Party M&V Services - Katzenbach School for the Deaf,State of NJ - Division of Property Management & Construction 3rd Party M&V Services - Katzenbach School for the Deaf,Annuity Services
Stockton University,Consolidated Communications Center Building – Commissioning Services,Stockton University Consolidated Communications Center Building – Commissioning Services,Commissioning
Stulz,Controls of Modular Construction for liquid cooled applications,Stulz Controls of Modular Construction for liquid cooled applications,MSI
Stulz,Meet Andy McDonald and Mack - local distributor,Stulz Meet Andy McDonald and Mack - local distributor,MSI
State University of New York,Ambulatory Care Facility - Building Cx - SUNY Upstate Medical Center ,State University of New York Ambulatory Care Facility - Building Cx - SUNY Upstate Medical Center ,Commissioning
State University of New York,Cancer Center Fit Out Floors 4 & 5 - Cx Services,State University of New York Cancer Center Fit Out Floors 4 & 5 - Cx Services,Commissioning
Sustainable Options,LEED Level I Audit and IEQ Calculations ,Sustainable Options LEED Level I Audit and IEQ Calculations ,Audit
Sustainable Options,Oglethorpe Power HQ - LEED IEQ Calculations ,Sustainable Options Oglethorpe Power HQ - LEED IEQ Calculations ,Audit
Swan Coach House,Swan Coach House Kitchens heat load study ,Swan Coach House Swan Coach House Kitchens heat load study ,Design
Swinerton,TBD,Swinerton TBD,Design
Switch,$2.5B Atlanta Data Center,Switch $2.5B Atlanta Data Center,Design / Commissioning
Switch,Pyramid Site Assessment,Switch Pyramid Site Assessment,Audit
Switch,Qualifications Package,Switch Qualifications Package,Commissioning
Switch,Strategic Plan - T&M,Switch Strategic Plan - T&M,"Other (Owner's Rep, Ops Support, etc.)"
Switch,T2O services - T&M,Switch T2O services - T&M,"Other (Owner's Rep, Ops Support, etc.)"
T5,$100M data center in Lithia Springs,T5 $100M data center in Lithia Springs,Design
Telx,Digital - 56 Marietta Energy Audit ECM Design,Telx Digital - 56 Marietta Energy Audit ECM Design,Design
Telx,Digital Realty - 56 marietta st - energy audit - Atlanta GA,Telx Digital Realty - 56 marietta st - energy audit - Atlanta GA,Audit
Telx,Lead from Melinda Parrish - SE facility build.  George Yan,Telx Lead from Melinda Parrish - SE facility build.  George Yan,Design / Commissioning
Temple Bnai Jeshurun (TBJ),Congregation Bnai Jeshurun - Synagogue Commissioning,Temple Bnai Jeshurun (TBJ) Congregation Bnai Jeshurun - Synagogue Commissioning,Commissioning
Terracon,Misc Cx Opps,Terracon Misc Cx Opps,Commissioning
The College of New Jersey,TCNJ,The College of New Jersey TCNJ,Commissioning
The Haskell Company,Atlantic City CG Station - Boat Maintenance Facility (BMF) LEED Cx,The Haskell Company Atlantic City CG Station - Boat Maintenance Facility (BMF) LEED Cx,Commissioning
The Haskell Company,Manasquan CG Station - Multi - Mission Facility (MMF) LEED Cx,The Haskell Company Manasquan CG Station - Multi - Mission Facility (MMF) LEED Cx,Commissioning
The Haskell Company,USCG Cape Cod UPH – LEED Commissioning Services,The Haskell Company USCG Cape Cod UPH – LEED Commissioning Services,Commissioning
The Haskell Company,USCG Station Sandy Hook – LEED Cx Services,The Haskell Company USCG Station Sandy Hook – LEED Cx Services,Commissioning
Thea Development,"Data Center Campus - Sherman, TX","Thea Development Data Center Campus - Sherman, TX",Design / Commissioning
Thermal Resource Systems (TRS),LG VRF Controls,Thermal Resource Systems (TRS) LG VRF Controls,MSI
Thermal Resource Systems (TRS),VTS controls,Thermal Resource Systems (TRS) VTS controls,MSI
Tierpoint,"Allen, TX II Facility","Tierpoint Allen, TX II Facility",Design / Commissioning
"Tokarski and Millemann Architects, LLC",HVAC System Upgrade and Roof Replacement Cx,"Tokarski and Millemann Architects, LLC HVAC System Upgrade and Roof Replacement Cx",Commissioning
Trahan Architects,309M Trahan - New Orleans,Trahan Architects 309M Trahan - New Orleans,Design
Trahan Architects,Alliance Theatre - Cx Support,Trahan Architects Alliance Theatre - Cx Support,Commissioning
Trahan Architects,Alliance Theatre - Humidification Change,Trahan Architects Alliance Theatre - Humidification Change,Design
Trahan Architects,College Station Hotel,Trahan Architects College Station Hotel,Design
Trahan Architects,Hawaii Theatre,Trahan Architects Hawaii Theatre,Design
Trahan Architects,Laguna Gloria - Lighting Design,Trahan Architects Laguna Gloria - Lighting Design,Design
Trahan Architects,Laguna Gloria Pavilion MEP Design ,Trahan Architects Laguna Gloria Pavilion MEP Design ,Design
Trammell Crow,"Chemours – Comet – Newark, DE","Trammell Crow Chemours – Comet – Newark, DE",Commissioning
Tri-Tech,Berkeley CA Safety Training Development,Tri-Tech Berkeley CA Safety Training Development,"Other (Owner's Rep, Ops Support, etc.)"
Tri-Tech,Equipment Safety Training - Newark Power Plant,Tri-Tech Equipment Safety Training - Newark Power Plant,"Other (Owner's Rep, Ops Support, etc.)"
Tri-Tech,Tri-Tech St. Louis Electrical Equipment Training,Tri-Tech Tri-Tech St. Louis Electrical Equipment Training,"Other (Owner's Rep, Ops Support, etc.)"
Twitter,TBD,Twitter TBD,Design / Commissioning
UGA,CHW Loop Piping Design,UGA CHW Loop Piping Design,Design
UGA,CHW Piping Design ,UGA CHW Piping Design ,Design
UGA,Russell Hall Renovation ,UGA Russell Hall Renovation ,Design
United Mobile Solution,140 Retail Stores,United Mobile Solution 140 Retail Stores,Design
United Technologies Corporation (UTC),TBD,United Technologies Corporation (UTC) TBD,Design
University Hospital,Emergency Power System Upgrade Cx,University Hospital Emergency Power System Upgrade Cx,Commissioning
UNOPS,708 3rd Avenue Fit-Up LEED Cx,UNOPS 708 3rd Avenue Fit-Up LEED Cx,Commissioning
USGA,Data Center Cx ,USGA Data Center Cx ,Commissioning
Vantage,Ashburn DC,Vantage Ashburn DC,Design / Commissioning
Vector Praxis,TBD,Vector Praxis TBD,Design
Veterans Contracting Group,Manhattan VA Medical Center - Expansion,Veterans Contracting Group Manhattan VA Medical Center - Expansion,Design
vXchnge,vXchnge PA01,vXchnge vXchnge PA01,Commissioning
Verizon Wireless,141 Industrial Pkwy - Arc Flash Coord Study ,Verizon Wireless 141 Industrial Pkwy - Arc Flash Coord Study ,Specialty Services
Verizon Wireless,"145 Chubb Way, Branchburg, NJ ACC Design","Verizon Wireless 145 Chubb Way, Branchburg, NJ ACC Design",Design
Verizon Wireless,"2018 CRAN Hebron, KY","Verizon Wireless 2018 CRAN Hebron, KY",Design
Verizon Wireless,2018 East Norwood A&E CRAN,Verizon Wireless 2018 East Norwood A&E CRAN,Design
Verizon Wireless,2018 Groesbeck A&E Design CRAN,Verizon Wireless 2018 Groesbeck A&E Design CRAN,Design
Verizon Wireless,"38th Ave, Nashville, TN CRAN Survey","Verizon Wireless 38th Ave, Nashville, TN CRAN Survey",Audit
Verizon Wireless,51 Imclone Lab Power Diversity Cx Services,Verizon Wireless 51 Imclone Lab Power Diversity Cx Services,Commissioning
Verizon Wireless,51 Imclone MDF Upgrade Design and CA,Verizon Wireless 51 Imclone MDF Upgrade Design and CA,Design
Verizon Wireless,8th St. Atl Design CRAN,Verizon Wireless 8th St. Atl Design CRAN,Design
Verizon Wireless,8th St. grounding audit CRAN,Verizon Wireless 8th St. grounding audit CRAN,Design
Verizon Wireless,8th St. security design CRAN,Verizon Wireless 8th St. security design CRAN,Design
Verizon Wireless,8th Street Atlanta - CRAN Audit,Verizon Wireless 8th Street Atlanta - CRAN Audit,Audit
Verizon Wireless,A&E Cran Work Hub - S. Central TX,Verizon Wireless A&E Cran Work Hub - S. Central TX,Design
Verizon Wireless,A&E Services for 6 CRAN sites in Phoenix ,Verizon Wireless A&E Services for 6 CRAN sites in Phoenix ,Design
Verizon Wireless,A&E Services for Tap Box & MTS - Golden Valley MN MSC,Verizon Wireless A&E Services for Tap Box & MTS - Golden Valley MN MSC,Design
Verizon Wireless,A&E Wisconsin CRAN Hub,Verizon Wireless A&E Wisconsin CRAN Hub,Design
Verizon Wireless,"ABQ, NM3, NM4 CRAN A&E  ","Verizon Wireless ABQ, NM3, NM4 CRAN A&E  ",Design
Verizon Wireless,"AC Power Feasibiliyt (BBG, SL, CIN)","Verizon Wireless AC Power Feasibiliyt (BBG, SL, CIN)",Design
Verizon Wireless,Adelphi MSI,Verizon Wireless Adelphi MSI,MSI
Verizon Wireless,Akron Bartges CRAN,Verizon Wireless Akron Bartges CRAN,Design
Verizon Wireless,AL - Bham Medium CRAN - A&E,Verizon Wireless AL - Bham Medium CRAN - A&E,Design
Verizon Wireless,Albuquerque BAS Installation,Verizon Wireless Albuquerque BAS Installation,MSI
Verizon Wireless,Albuquerque BAS MSI,Verizon Wireless Albuquerque BAS MSI,MSI
Verizon Wireless,Alpharetta - RHO Calculations,Verizon Wireless Alpharetta - RHO Calculations,Audit
Verizon Wireless,Alpharetta and Birmingham SAP Audits,Verizon Wireless Alpharetta and Birmingham SAP Audits,Audit
Verizon Wireless,Alpharetta GUI Upgrades,Verizon Wireless Alpharetta GUI Upgrades,MSI
Verizon Wireless,Alpharetta MSC - HVAC Study,Verizon Wireless Alpharetta MSC - HVAC Study,Design
Verizon Wireless,Alpharetta MSI,Verizon Wireless Alpharetta MSI,MSI
Verizon Wireless,Alpharetta MTSO Add Conduit,Verizon Wireless Alpharetta MTSO Add Conduit,Design
Verizon Wireless,Alpharetta RNC SDN,Verizon Wireless Alpharetta RNC SDN,Design
Verizon Wireless,Alpharetta Switch A HVAC Design ,Verizon Wireless Alpharetta Switch A HVAC Design ,Design
Verizon Wireless,"Alpharetta, GA - GUI Update","Verizon Wireless Alpharetta, GA - GUI Update",MSI
Verizon Wireless,Anchorage Energy Audit,Verizon Wireless Anchorage Energy Audit,Audit
Verizon Wireless,Annapolis Junction Master Plan,Verizon Wireless Annapolis Junction Master Plan,Design
Verizon Wireless,Annapolis Junction MSC - SC Power ,Verizon Wireless Annapolis Junction MSC - SC Power ,Design
Verizon Wireless,Annapolis MSI,Verizon Wireless Annapolis MSI,MSI
Verizon Wireless,ATL CRAN Audits (8 sites),Verizon Wireless ATL CRAN Audits (8 sites),Audit
Verizon Wireless,ATL Hub CRAN - Survey & Design - 1 of 2,Verizon Wireless ATL Hub CRAN - Survey & Design - 1 of 2,Design
Verizon Wireless,ATL Hub CRAN - Survey & Design - 2 of 2,Verizon Wireless ATL Hub CRAN - Survey & Design - 2 of 2,Design
Verizon Wireless,ATL Medium Hub CRAN Surveys & CD - 2,Verizon Wireless ATL Medium Hub CRAN Surveys & CD - 2,Audit
Verizon Wireless,ATL Medium Hub CRAN Surveys & CD - 3,Verizon Wireless ATL Medium Hub CRAN Surveys & CD - 3,Audit
Verizon Wireless,ATL Medium Hub CRAN Surveys & CD - 4,Verizon Wireless ATL Medium Hub CRAN Surveys & CD - 4,Audit
Verizon Wireless,ATL Medium Hub CRAN Surveys & CDs,Verizon Wireless ATL Medium Hub CRAN Surveys & CDs,Design
Verizon Wireless,Audit and Design Services Med-CRAN,Verizon Wireless Audit and Design Services Med-CRAN,Design
Verizon Wireless,Aurora Block Wall Expansion Design,Verizon Wireless Aurora Block Wall Expansion Design,Design
Verizon Wireless,Aurora Heat Map Solution,Verizon Wireless Aurora Heat Map Solution,Design
Verizon Wireless,Aurora MSC HVAC and DC Power Plant,Verizon Wireless Aurora MSC HVAC and DC Power Plant,Design
Verizon Wireless,Aurora MSC Plenum Reconfiguration,Verizon Wireless Aurora MSC Plenum Reconfiguration,Design
Verizon Wireless,Aurora MSI,Verizon Wireless Aurora MSI,MSI
Verizon Wireless,Aurora Outside Patio Design ,Verizon Wireless Aurora Outside Patio Design ,Design
Verizon Wireless,AZ2 CRAN A&E Design,Verizon Wireless AZ2 CRAN A&E Design,Design
Verizon Wireless,Azusa BAS CHW DP Programming ,Verizon Wireless Azusa BAS CHW DP Programming ,MSI
Verizon Wireless,Azusa Energy Audit BAS Vendor Support,Verizon Wireless Azusa Energy Audit BAS Vendor Support,MSI
Verizon Wireless,Azusa MSC BAS Baseline Audit,Verizon Wireless Azusa MSC BAS Baseline Audit,Audit
Verizon Wireless,Azusa MSC Energy Audit,Verizon Wireless Azusa MSC Energy Audit,Audit
Verizon Wireless,BAS GUI graphics -DGLogik software,Verizon Wireless BAS GUI graphics -DGLogik software,MSI
Verizon Wireless,BAS GUI Standards Template,Verizon Wireless BAS GUI Standards Template,MSI
Verizon Wireless,BAS MSI - Whites Creek TN,Verizon Wireless BAS MSI - Whites Creek TN,MSI
Verizon Wireless,BAS MSI support N Seattle / Redmond,Verizon Wireless BAS MSI support N Seattle / Redmond,MSI
Verizon Wireless,BAS NOC Alarm template set updates,Verizon Wireless BAS NOC Alarm template set updates,MSI
Verizon Wireless,BAS Template Set,Verizon Wireless BAS Template Set,MSI
Verizon Wireless,Basking Ridge Interim DCIM,Verizon Wireless Basking Ridge Interim DCIM,MSI
Verizon Wireless,Baton Rouge Construction Oversight,Verizon Wireless Baton Rouge Construction Oversight,"Other (Owner's Rep, Ops Support, etc.)"
Verizon Wireless,Baton Rouge HVAC Study,Verizon Wireless Baton Rouge HVAC Study,Design
Verizon Wireless,Baton Rouge MSI and BAS ,Verizon Wireless Baton Rouge MSI and BAS ,MSI
Verizon Wireless,Baton Rouge Power Path,Verizon Wireless Baton Rouge Power Path,Design
Verizon Wireless,Bham Medium Hub CRAN Surveys 6 Sites,Verizon Wireless Bham Medium Hub CRAN Surveys 6 Sites,Audit
Verizon Wireless,Birmingham - BAS Replacement,Verizon Wireless Birmingham - BAS Replacement,MSI
Verizon Wireless,Birmingham BAS Audit,Verizon Wireless Birmingham BAS Audit,MSI
